Quarter,U.S. - ALABAMA,U.S. - ALASKA,U.S. - ARIZONA,U.S. - ARKANSAS,U.S. - CALIFORNIA,U.S. - COLORADO,U.S. - CONNECTICUT,U.S. - DELAWARE,U.S. - DISTRICT OF COLUMBIA,U.S. - FLORIDA,U.S. - GEORGIA,U.S. - HAWAII,U.S. - IDAHO,U.S. - ILLINOIS,U.S. - INDIANA,U.S. - IOWA,U.S. - KANSAS,U.S. - KENTUCKY,U.S. - LOUISIANA,U.S. - MAINE,U.S. - MARYLAND,U.S. - MASSACHUSETTS,U.S. - MICHIGAN,U.S. - MINNESOTA,U.S. - MISSISSIPPI,U.S. - MISSOURI,U.S. - MONTANA,U.S. - NEBRASKA,U.S. - NEVADA,U.S. - NEW HAMPSHIRE,U.S. - NEW JERSEY,U.S. - NEW MEXICO,U.S. - NEW YORK,U.S. - NORTH CAROLINA,U.S. - NORTH DAKOTA,U.S. - OHIO,U.S. - OKLAHOMA,U.S. - OREGON,U.S. - PENNSYLVANIA,U.S. - RHODE ISLAND,U.S. - SOUTH CAROLINA,U.S. - SOUTH DAKOTA,U.S. - TENNESSEE,U.S. - TEXAS,U.S. - UTAH,U.S. - VERMONT,U.S. - VIRGINIA,U.S. - WASHINGTON,U.S. - WEST VIRGINIA,U.S. - WISCONSIN,U.S. - WYOMING
Q3 07,3553.6652,1915.0875,3675.1239,2114.3204,4032.8059,3102.5008,4878.2661,6232.6104,3794.2077,3293.4005,2805.6479,2983.8767,2883.9098,3201.6582,4875.2237,3272.6483,3125.1699,3432.4181,3054.7557,3611.4445,4311.8993,4355.3001,4375.6135,3642.4932,2820.5801,3126.6126,3029.8248,2699.7494,4890.0481,5218.0825,4052.719,2813.1499,4430.9642,4488.882,4839.4395,3274.9043,4762.559,3322.6632,3999.2509,5063.5105,3651.0102,3070.4197,3360.2639,2973.9187,4096.4716,4838.289,3383.4401,3436.7548,4132.3582,4443.1797,2985.2619
Q4 07,3485.9969,1806.0531,3369.187,2035.3406,4186.9744,3083.7493,4938.0507,7081.9012,3752.9904,3314.2691,2782.6015,2763.1957,2617.146,2922.5895,4715.012,3197.1818,3152.056,3465.5869,2985.6916,3761.7474,4350.6425,4349.3576,4032.1307,3529.2566,2839.7349,2964.6119,2903.4549,2653.8267,4818.9424,5171.8009,3978.4299,2812.0664,4481.6913,4810.8282,4226.7845,3245.9578,5165.0977,3220.4558,4048.7533,5064.1767,3767.7444,3025.8961,3432.8022,2946.2496,4808.729,5097.5649,3505.9557,3005.82,3986.3311,4241.2708,2878.6291
Q1 08,3571.9856,1823.5957,3183.7108,2156.7392,4157.245,3164.6508,5205.7692,7060.6241,3737.5177,3562.6001,2713.7788,2757.1965,2548.342,2885.8992,4623.1672,3055.2332,2971.6726,3395.8947,2921.6018,3936.375,4200.4168,4506.1354,4106.4207,3393.2731,2833.4737,2630.3397,2923.5935,2674.7236,4572.6608,5341.4708,3759.7874,2718.6967,4516.4537,4626.5989,4052.218,3135.3699,4956.3796,3492.3036,4101.9347,5420.5272,3729.7946,3056.4672,3497.9699,2780.3651,5272.0669,5030.1718,3556.7915,2907.4348,3940.9573,4193.1653,3018.9444
Q2 08,3708.3982,1877.2773,3291.4622,2505.3743,4258.6477,3236.2577,5446.3024,7588.7639,3779.4822,3679.6891,2794.3677,2886.6167,2847.35,2839.5345,4352.8308,3028.3711,3119.6301,3354.5589,3057.0014,4414.5813,4376.7655,4664.7335,4275.1344,3490.6352,3094.8135,2811.3133,3014.7748,3110.9032,4620.6909,5542.5147,3811.7051,2633.6717,4779.0213,4818.3505,3654.6815,3451.2405,4916.3933,3790.0014,4269.6422,5469.9981,3936.5399,3036.4937,3782.1439,2934.6569,5236.6348,5447.1688,3604.5459,3345.6098,3706.2764,4294.6805,3287.6623
Q3 08,3934.9772,1907.2389,3216.9746,2761.2734,4503.4997,3321.0777,5900.8143,7450.7494,3974.7024,4038.2445,2955.7777,3238.3343,3224.4388,2973.1668,4725.9487,3513.5327,3117.4507,3599.3669,3311.8249,4857.9249,4504.493,5249.6672,4601.2877,3968.8985,3546.4322,3081.9666,3199.8363,3235.129,4776.3581,6526.2607,3995.8942,2980.8483,5258.8213,5194.3496,4354.6987,3712.0316,5176.4534,3860.6086,4418.3913,5729.897,4154.0476,3474.4376,4017.881,3217.177,5696.0923,6169.6878,4301.4134,3482.4063,4128.7917,4568.9142,3131.4382
Q4 08,3995.0049,1998.7613,3015.6492,2631.4341,4392.1871,3613.863,5556.4466,7357.8881,3909.4522,3834.7659,2826.648,3172.2498,2960.6084,2796.1212,4840.934,3858.9295,2906.7726,3462.7745,3311.2307,5023.9863,4130.4641,5215.7031,4375.7782,3808.3821,3385.7625,2765.4895,3227.4724,3015.3202,5078.2444,6053.6474,3862.0943,3581.3755,5130.1561,4875.6203,4448.2436,3691.7872,5267.8453,4014.774,4396.1832,5379.2214,4220.9734,3220.3553,3916.4914,3106.6439,5771.9231,5594.4631,4228.7638,3575.9546,3720.7939,4491.8385,3117.2943
Q1 09,4253.5466,2075.9104,3545.8701,2684.2758,4512.6669,3599.8122,5483.1921,7289.864,4395.8588,3830.0456,2915.5628,4002.7037,3395.3944,2831.7295,5055.5799,4242.5375,3310.3782,3711.0396,3419.3915,5287.2804,4273.1696,5358.5979,4325.8253,3968.2538,3438.0103,2886.1983,3393.5182,3371.7647,5911.9986,6509.315,4123.4069,3575.3381,5465.1582,5398.8605,4890.9617,3695.5785,5734.8692,4395.6037,4555.1936,5525.7681,4403.284,3163.1979,3910.1636,3245.8186,6369.873,5866.8244,4405.2815,3770.2402,4043.9484,4753.4239,3385.1286
Q2 09,3826.0252,2046.676,2927.1079,2460.4423,4308.4698,3497.3878,5450.9688,6449.015,4224.3971,3756.5087,2566.3896,4398.9897,2892.7169,2743.0968,5045.805,4024.5142,2719.2814,3603.1308,3061.1561,5033.3677,4368.1807,5114.546,4486.0711,4166.6711,3756.2112,2731.2918,3296.4434,2913.8578,5064.5239,6300.9468,3775.4979,3427.6922,5343.8338,5073.4999,4020.0347,3635.0618,5033.8536,4156.1481,4504.7803,5344.8894,4261.0734,3512.5107,3414.0682,2991.8845,5011.4279,5793.8299,4337.6224,3589.8441,3674.6005,4480.8494,3301.1497
Q3 09,3595.2247,2236.9094,3038.0547,2443.9134,4434.0628,3459.7657,5685.3796,7078.7174,4413.4194,3738.0054,2576.0158,4547.1191,2983.523,2751.3752,5045.1221,4059.8549,2713.6736,3540.0465,3136.8567,4968.6635,4074.0663,5317.8854,4479.3478,4129.7409,3520.7464,2579.7867,3037.7803,3007.4037,5074.1086,5924.7178,3421.025,3208.2206,5187.0513,5041.6753,4623.5219,3569.2562,4934.0195,4103.4213,4494.9498,5625.6476,4296.2928,3712.1222,3089.841,3037.1945,5630.1252,5909.3707,4391.1015,3361.2896,4162.1129,4734.7624,3034.4519
Q4 09,3948.5482,2426.1099,3269.3837,2610.0067,4443.1897,3434.2335,5577.3178,7581.0513,4580.1352,3860.9528,2647.813,4779.6036,2843.3244,2903.649,5514.1829,4111.3174,2774.5497,3350.5001,3450.7696,4926.7874,4309.7949,5312.2756,4588.9201,4266.9053,3802.9639,2783.3625,3169.567,3097.164,5430.6769,5605.6362,3503.2504,3539.244,5164.3851,5272.6375,4845.1021,3628.0921,5027.0123,4099.6712,4703.8002,5478.8864,4748.7225,4691.5915,3237.4475,3259.8002,5345.4129,5996.3892,4683.1319,3677.5433,4114.4983,5201.2581,2897.6078
Q1 10,3710.5262,2693.007,3314.0865,2704.471,4608.5388,3350.2458,5414.6348,7610.4838,3911.2949,3680.506,2459.151,4536.4007,3240.7862,2739.106,5240.8634,4139.8587,2416.251,3252.5817,3571.6344,4707.4308,4003.4681,5290.4051,4525.2749,4338.3409,3620.4418,2665.4587,3393.6859,3525.626,5217.6014,5820.1179,3125.5279,3630.6717,4899.7144,5015.2378,4540.5806,3518.6923,4957.3333,4092.6223,4544.2203,5580.5443,4599.9617,4578.0326,3111.3375,3188.6843,5556.2035,6275.0986,4568.8082,4006.0808,3883.3499,5086.6715,3191.298
Q2 10,3810.9472,2935.791,2925.6012,2884.7133,4352.6961,3254.3622,5143.1989,7259.5565,3356.0046,3654.2964,2556.0835,4598.7652,3074.8375,2803.9698,5174.6835,3735.9694,2361.1332,3436.9069,3584.0249,4734.1943,3648.2042,4673.4674,4384.2954,4369.9784,3507.2194,2706.5179,3347.8128,2861.26,5448.6786,5886.984,2719.1116,3533.8455,4477.1701,4644.0198,4477.8633,3399.3462,4906.4528,3754.1287,4380.6167,6174.712,4405.9148,4363.9313,3028.8614,3166.1051,5178.0817,6153.8326,4813.9359,3917.6455,4068.1399,4974.9766,3408.8297
Q3 10,4193.9852,3153.3378,3213.0775,2896.1147,4652.0565,3656.4374,5523.2138,7189.4788,3561.8993,3976.8083,2745.1778,5016.2073,3844.671,3065.9025,5541.3869,4194.0193,2054.1073,3548.1541,3676.986,5289.7768,3596.122,4798.7916,5040.786,5260.2122,3746.7748,2690.1188,3629.3969,3104.8799,5356.2796,6044.8416,2698.8772,4106.1422,4743.0825,4891.2625,4989.1511,3559.1524,5091.8092,4333.6594,4456.9856,6288.5275,4894.1149,4448.4233,3554.1115,3398.7009,6371.7117,6670.3156,5209.6242,4283.7217,3893.817,5414.5942,3740.8721
Q4 10,4345.5695,3127.3839,3305.9439,2963.9211,4962.5205,3869.1726,5496.1626,7274.976,4324.9478,4269.4583,2923.4959,4851.6228,3651.7891,3200.4723,5585.3272,4188.1395,1684.899,3646.0268,3668.3519,5409.4322,3624.5035,5090.7549,5014.7808,4944.1874,3612.177,2707.7964,3729.4351,3374.7846,5600.0727,5751.7483,3222.6705,4142.9386,5135.9779,5523.4901,5317.1945,3743.7261,5156.088,4326.6092,4633.3986,6828.7063,5226.2921,4453.616,3917.8295,3661.9607,6468.8408,6574.257,5470.5804,4225.2525,3678.695,5545.1653,2817.8499
Q1 11,4353.1843,3421.7613,3388.4397,3046.9506,5654.8538,3942.0382,5882.8683,7514.219,4377.2267,4368.7964,2872.1188,4662.0778,3684.2485,3344.5693,5810.7911,4242.1695,1754.8725,3713.9558,3889.9381,5581.7337,3868.3043,5155.9487,5250.8613,5063.5776,3996.8672,2800.8696,3839.0952,3343.5697,5667.7028,5930.7507,3822.4175,4067.0068,5324.346,5744.9468,5239.1313,4031.6694,5192.535,4448.7388,4830.4317,6785.9782,5244.4907,4935.4769,3987.1944,3620.496,6667.9449,5913.8608,5866.1421,4174.4823,3866.6084,5975.0114,2629.3835
Q2 11,4829.7269,3655.7742,3902.568,3333.9203,5952.5108,4457.3511,6481.7632,8108.8373,4706.8576,4553.7863,3053.1459,5523.5765,4082.1953,3579.749,6376.9137,4878.204,1800.0286,3986.2549,4227.9075,5784.7628,4362.873,5267.5162,5677.373,5594.3512,4363.1788,2985.6756,4060.7376,3809.2559,5942.2949,6581.7632,4156.0948,5108.2051,5698.4124,6209.246,5869.2183,4314.8535,5878.4904,4656.2146,5353.8993,8228.1076,5711.8166,4957.3299,4257.0468,3768.2169,7003.1043,7009.4977,6711.2764,4438.796,4513.8467,6286.511,3063.315
Q3 11,4894.7719,4042.415,4005.7651,3443.166,6122.4397,4477.2982,7420.5576,8545.4065,4406.4225,4928.5559,3146.8114,5129.1344,4058.6997,3678.1326,6842.0281,4883.7238,2062.2527,3895.3521,4277.7599,5717.9881,4498.6413,6042.6215,5831.5778,5673.5184,4388.7501,3052.5238,4166.9699,3622.4852,6174.901,7786.6612,4357.2451,4938.7806,5625.0856,6489.9593,6065.9418,4575.1365,6064.0814,5327.6923,5692.9177,8519.1635,5890.3632,5479.4052,4346.0867,3981.941,7917.6049,8268.001,6779.4352,4618.2098,4976.9982,6445.1257,4705.467
Q4 11,4641.3723,3837.5275,3787.205,3174.5869,5814.8764,4315.375,7056.3718,8198.535,4538.3982,4747.3928,3016.2039,4577.5869,3846.4712,3643.8555,6298.8123,4453.0627,2817.0888,3607.4638,4109.2507,5478.2317,4492.6481,5861.6611,5714.0177,5488.8795,4311.9459,3057.5485,3976.1144,3497.8378,5927.1987,8123.899,4739.7139,4491.0064,5667.9747,5693.307,5243.419,4679.4814,5410.6406,5046.2638,5681.8348,7489.3284,5519.2772,5373.8536,4321.7637,3589.0304,7462.4404,7816.6462,6739.5121,4417.1627,4501.076,5792.1224,3168.9271
