Quarter,UNITED STATES,SOUTH KOREA,NORWAY,SWEDEN,SWITZERLAND,FINLAND
Q3 07,3672.2961,12041.9569,4503.1822,4771.9357,4561.9111,2732.5054
Q4 07,3644.3089,13668.0338,4421.3265,4766.9581,4628.9217,2781.2733
Q1 08,3609.3126,10986.6675,4055.3635,4526.7432,4380.2517,2779.7819
Q2 08,3748.0702,13816.0651,4323.7789,4824.2631,4729.9553,2907.1611
Q3 08,4019.0627,12477.2898,4488.0902,5486.4815,4918.763,3147.8023
Q4 08,3903.5845,15033.689,4481.9681,5857.8504,5077.4442,3200.9434
Q1 09,4075.1212,10881.8059,4699.6305,6671.9046,5648.3227,3429.2285
Q2 09,3848.9922,11184.7183,4158.4608,5859.7634,4904.8926,3295.6939
Q3 09,3846.7084,14571.4302,4227.5003,5670.5379,4862.7722,3429.1375
Q4 09,3978.4862,12102.8584,4475.2576,6207.9459,5112.7774,3628.6833
Q1 10,3868.8223,11685.575,4408.2977,6192.6338,5300.9063,3937.4019
Q2 10,3708.858,15765.1484,4120.7096,5571.4025,5085.7974,4077.8916
Q3 10,3964.7704,13207.4365,4236.2392,5046.2628,5345.1555,4379.7013
Q4 10,4166.4327,6992.8103,4375.5306,5139.1471,5635.2961,4833.7641
Q1 11,4346.1975,8686.7173,4342.1502,5036.7831,6213.0404,4913.226
Q2 11,4664.2051,10245.1202,5050.732,5322.1585,7287.4161,5684.8472
Q3 11,4878.8767,16736.8707,5032.1083,5392.971,7507.6726,5651.9081
Q4 11,4734.6627,15996.6256,4831.2302,5639.4448,7289.8457,5907.1844
Q1 12,5558.6129,15749.0895,5430.1412,6336.0889,8102.2411,6852.2656
Q2 12,5797.1031,14206.9066,5220.7427,5853.7761,8428.2422,6573.7523
Q3 12,6396.3547,14675.4677,6148.2739,6764.6112,8693.0402,6821.4397
Q4 12,6570.8509,13972.4502,6546.1042,7265.0027,8736.759,7117.7337
Q1 13,8033.9113,9643.7177,7244.8556,8916.2087,10088.9267,7845.973
Q2 13,8262.6314,13345.3136,7354.8778,8961.2125,11008.7904,8120.8021
Q3 13,9524.2719,22162.6502,8937.4394,10448.6235,11587.7531,8600.4172
Q4 13,9641.405,21882.4286,8919.0646,10901.931,12041.4077,9066.4906
Q1 14,10512.9864,23629.4368,10100.2534,11624.2152,12740.6111,10724.6257
Q2 14,11458.7459,26007.8726,10369.9678,13567.4932,14689.5238,11099.2028
Q3 14,11487.4804,25250.1198,11428.3654,14133.8151,14524.5694,11748.7356
Q4 14,11061.2018,22227.5742,11393.4916,14626.0045,14522.9595,12081.9004
Q1 15,11856.4509,23494.6338,12716.0284,15685.0852,14950.5566,13659.2629
Q2 15,11966.7132,22979.9732,12916.5487,15882.4833,15628.7167,14030.4213
Q3 15,12572.4097,20543.4657,16433.4666,17445.2766,16204.9359,14824.6512
Q4 15,14240.3316,26746.4523,18755.5633,19061.3907,16660.144,16605.2312
Q1 16,15333.2114,29047.9376,21315.2708,20646.3931,18662.2447,17745.023
Q2 16,15299.9906,26965.4138,20073.5145,18832.1429,18309.356,17639.8409
Q3 16,15218.5811,26468.8563,18550.4442,18140.062,17514.2251,16541.5473
Q4 16,17235.6238,26116.2314,23633.1984,22846.8508,21238.6723,20587.4088
Q1 17,18747.5807,28553.6868,23539.078,22543.0936,21683.4451,20451.9146
